id,title,organization,city,state,status,created_date
78a3b61e-fa24-44b8-b17a-c9211f6aa3d7,"HealthFirst Family Care Center-School-Based Health Center - Fall River, MA","HEALTHFIRST FAMILY CARE CENTER, INC.",Fall River,MA,ACTIVE,2026-01-29
a14a9f0c-f0f5-4862-a732-1947b6264377,"SBHC - Magnolia - Moss Point, MS",COASTAL FAMILY HEALTH CENTER,Moss Point,MS,ACTIVE,2026-01-29
18a8fb9b-323a-4658-a79e-9d26c895167d,"Our Daily Bread - Baltimore, MD",HEALTH CARE FOR HOMELESS INC,Baltimore,MD,ACTIVE,2026-01-29
28469391-e0ed-4f31-9b32-c295dfd837b5,"Apple Valley Head Start - Apple Valley, CA",SAN BERNARDINO PUBLIC HEALTH,Apple Valley,CA,ACTIVE,2026-01-29
0ff01995-96ba-462a-96ca-2e739e8ca5c3,School District of Clear Lake- Clear Lake JR/SR High Scho... (WI),"LAKES COMMUNITY HEALTH CENTER, INC THE",Clear Lake,WI,ACTIVE,2026-01-29
34e39b26-749a-4c45-b4b8-06a3ae7074a1,"Bedford Community Health Center - Brooklyn, NY",NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,Brooklyn,NY,ACTIVE,2026-01-29
23cc9aa4-60bf-42e0-95e5-bb3ab1580170,"Complete Care Community Health Center--Fountain Valley - Fountain Valley, CA","COMPLETE CARE COMMUNITY HEALTH CENTER, INC.",Fountain Valley,CA,ACTIVE,2026-01-29
691d305e-38dc-49e1-b9c3-774b9e4e9af7,"Northwestern Academy of Visual and Performing Arts - Battle Creek, MI","GRACE HEALTH, INC",Battle Creek,MI,ACTIVE,2026-01-29
ed960b14-259e-493e-a485-ae3bc6d793b3,"Howard Brown Health 55th Street - Chicago, IL",HOWARD BROWN HEALTH CENTER,Chicago,IL,ACTIVE,2026-01-29
b07ba49b-5571-4c00-8c3e-f4d47e59c68e,"ODA Professionals - Brooklyn, NY","ODA PRIMARY HEALTH CARE NETWORK, INC.",Brooklyn,NY,ACTIVE,2026-01-29
9f566edf-39bf-468a-864b-8bf224845c77,"CVHS - Charlotte Pharmacy - Charlotte Court House, VA","CENTRAL VIRGINIA HEALTH SERVICES, INC.",Charlotte Court House,VA,ACTIVE,2026-01-29
92c5a366-1a5e-49bb-9382-5e1c3b809ba2,"Neighborhood Health Family Medicine Center Administration - Fort Wayne, IN",NEIGHBORHOOD HEALTH CLINICS,Fort Wayne,IN,ACTIVE,2026-01-29
